a|1:A, a [n] 1. huruf pertama abjad Indonesia
a|3:a- [bentuk terikat] 1. kekurangan : <i>anemia
ab|1:ab [n] wadah kecil dr timah untuk candu
ab|2:ab [ark n] ayah
ab|3:ab- [bentuk terikat] dari
aba|aba [n] ayah
aba-aba|aba-aba [n] kata perintah dl baris-berbaris, gerak badan, dsb (spt si...ap! maju ja...lan! berhen...ti!)
abad|abad [n] 1. masa seratus tahun: <i>bangunan itu diperkirakan dapat bertahan satu --
abadi|aba·di [a] kekal
abadiah|aba·di·ah [Ar n] kekekalan
abadiat|aba·di·at ? abadiah
abah|1:abah [n] arah
abah|2:abah ? aba
abah-abah|abah-abah [n] 1. alat
abai|abai [a] 1. tidak dipedulikan (tidak dikerjakan baik-baik, tidak dipentingkan, dsb)
abaimana|abai·ma·na [ark n] 1. lubang pelepasan
abaka|aba·ka [n] tumbuhan yg seratnya dibuat tali belati
abaktinal|abak·ti·nal [a Bio] berkenaan dng sisi tubuh yg tidak mengandung mulut, spt pd binatang laut
abakus|1:aba·kus [n] dekak-dekak
abakus|2:aba·kus [n Ars] lempeng datar di atas kepala tiang dng pinggiran cekung atau beralur
aban|aban [n Antr] sebutan bagi duda dl masyarakat Dayak Kayan
abang|1:abang [n] 1. kakak laki-laki
abang|2:abang [Jw a] merah
abangan|1:abang·an [Jw n] golongan masyarakat yg menganut agama Islam, tetapi tidak melaksanakan ajaran secara keseluruhan
abangan|2:abang·an [n] talang air pd atap rumah dsb
abangga|abang·ga [ark n] sikap berdiri sebuah arca
abar|abar [n] abar-abar
abatoar|aba·to·ar [n] tempat pemotongan hewan untuk umum
abau|abau [n] kura-kura rawa
abdas|ab·das, ber·ab·das [v Isl] membersihkan diri ketika hendak salat dng berwudu atau bertayamum: <i>setelah ~ , ia lalu salat di masjid itu
abdi|ab·di [n] 1. orang bawahan
abdikasi|ab·di·ka·si [n] 1. pelepasan hak, wewenang, atau kekuasaan (tt pembesar atau penguasa)
abdomen|ab·do·men [n Bio] 1. bagian tubuh berupa rongga perut yg berisi alat pencernaan
abdominal|ab·do·mi·nal [a] berhubungan dng abdomen
abdu|ab·du [kl n] hamba (Allah), yaitu manusia (terutama dipakai untuk nama orang): <i>Abdullah, </i>hamba Allah
abduksi|ab·duk·si [n] 1. pengambilan secara paksa (terutama perempuan) untuk dikawini atau digauli
abduktor|ab·duk·tor [n Dok] otot yg menggerakkan anggota badan, spt tangan dan kaki ke samping
abdul|ab·dul ? abdu
abece|abe·ce [n] 1. a-b-c (abjad Latin)
aben|aben , meng·a·ben [Bl v] membakar mayat
aberasi|abe·ra·si [n] penyimpangan dr yg normal
abet|abet [Jk n] tingkah laku
abian|abi·an [n] pembagian hasil ladang atau tegalan, pemilik dan penggarap masing-masing mendapat setengah dr hasil keseluruhan
abid|1:abid [ark a] tidak berkesudahan
abid|2:abid [Isl] 1. [v] beribadah
abidin|abi·din [Ar n] (bentuk jamak dr <i>abid</i>) orang-orang yg taat (beribadah atau mengabdi) kpd Tuhan
abilah|abi·lah [ark n] cacar
abimana|abi·ma·na ? abaimana
abing|abing [n] sebutan tambahan yg diberikan kpd saudara laki-laki atau perempuan yg meninggal
abiogenesis|abi·o·ge·ne·sis [n Bio] kehidupan yg dapat muncul dr benda yg tidak hidup
abiosfer|abi·o·sfer [n] lingkungan berupa barang atau benda yg tidak hidup
abiotik|abi·o·tik 1. [a] tidak memiliki ciri hidup
abis|abis [n Geo] bagian yg paling dalam dr lautan yg mempunyai kedalaman lebih dr 400 m
abisal|abi·sal [n] 1. endapan lumpur atau tanah dr dasar laut pd kedalaman 2.200—5.500 m
abiseka|abi·se·ka [n Hin] upacara yg dilakukan dng cara mandi dng air suci (tt penobatan raja atau pejabat tinggi)
abiturien|abi·tu·ri·en [n] lulusan sekolah (terutama sekolah menengah tingkat atas)
abjad|ab·jad [n] 1. kumpulan huruf (aksara) berdasarkan urutan yg lazim dl bahasa tertentu
